Source,Target,Type,Id,Label,Weight
53e99867b7602d97020a33d9,53e9a01fb7602d9702905b60,Directed,10980,,1
53e99867b7602d97020a33d9,53e9b866b7602d970442e61b,Directed,10985,,1
53e99867b7602d97020a4c65,53e9b89bb7602d9704474d1c,Directed,11122,,1
53e99867b7602d97020a4c65,53e9b260b7602d9703d0125d,Directed,11126,,1
53e99867b7602d97020a4c65,53e9986eb7602d97020aaeb6,Directed,11129,,1
53e99867b7602d97020a4c65,53e9afe1b7602d9703a31da0,Directed,11130,,1
53e99867b7602d97020a4c65,53e99915b7602d970214fe05,Directed,11132,,1
53e99867b7602d97020a4c65,53e9afc7b7602d9703a1b547,Directed,11134,,1
53e9986eb7602d97020a5009,53e9ab48b7602d97034dd3c6,Directed,11153,,1
53e9986eb7602d97020a5009,573697ea6e3b12023e6c539d,Directed,11157,,1
53e9986eb7602d97020a77dc,53e99808b7602d970201b95f,Directed,11251,,1
53e9986eb7602d97020a77dc,53e99fb4b7602d970288cc90,Directed,11258,,1
53e9986eb7602d97020a77dc,53e9b8c7b7602d97044a6fe2,Directed,11291,,1
53e9986eb7602d97020a8404,53e9a0d9b7602d97029c2fbe,Directed,11560,,1
53e9986eb7602d97020a967f,53e99a61b7602d97022ca5d0,Directed,11599,,1
53e9986eb7602d97020a967f,53e9ac5bb7602d970362d407,Directed,11611,,1
53e9986eb7602d97020a967f,53e9b395b7602d9703e7925f,Directed,11617,,1
53e9986eb7602d97020a9f42,53e99915b7602d970214fe05,Directed,11689,,1
53e9986eb7602d97020a9f42,53e99bb1b7602d970245953b,Directed,11692,,1
53e9986eb7602d97020a9f42,53e9b879b7602d970444b11c,Directed,11730,,1
53e9986eb7602d97020aaeb6,53e9af46b7602d97039828ad,Directed,11768,,1
53e9986eb7602d97020aaeb6,53e9b29cb7602d9703d43083,Directed,11769,,1
53e9986eb7602d97020aaeb6,53e9b572b7602d97040b030f,Directed,11771,,1
53e9986eb7602d97020aaeb6,53e9b89bb7602d9704474d1c,Directed,11774,,1
53e99875b7602d97020ad877,53e99875b7602d97020ad86c,Directed,12004,,1
53e99875b7602d97020ad877,53e9a1bcb7602d9702ab3acc,Directed,12011,,1
53e99875b7602d97020ad877,53e9a440b7602d9702d5d56d,Directed,12012,,1
53e99875b7602d97020ad877,53e9a8ffb7602d970324d0d9,Directed,12015,,1
53e99876b7602d97020b29bb,53e9acd2b7602d97036ae2e8,Directed,12294,,1
53e99876b7602d97020b29bb,53e9b381b7602d9703e61e50,Directed,12297,,1
53e9987db7602d97020b4b45,53e9a863b7602d97031ab600,Directed,12595,,1
53e9987db7602d97020b6639,53e9a8dbb7602d970322d86a,Directed,12742,,1
